Id,StageName,Amount,Product,Competitor,Account,Vertical
1046,Identify,"$73,834.00",Policy Management,SNFCourse,West Springs Home Care Center 0046,HC
1047,Closed Lost,"$75,173.00",XM,SNFCourse,North Ridge SNF Center 0047,SNF
1048,Closed Lost,"$72,760.00","Learning, XM",InsightsAct,Oak Valley Assisted Living Center 0048,AL
1049,Engage,"$45,209.00","Compliance, XM",InsightsAct,Grand Valley SNF Center 0049,SNF
1050,Closed Lost,"$45,316.00","Learning, Policy Management",MedTeach,South View SNF Center 0050,SNF
1051,Identify,"$19,532.00","Learning, Assessments",CareEd,West Heights Home Health Center 0051,HH
1052,Identify,"$49,570.00",Learning,SNFCourse,New Point Home Care Center 0052,HC
1053,Prove,"$50,223.00",XM,CareEd,River Harbor SNF Center 0053,SNF
1054,Identify,"$25,923.00","Learning, Regulation Management",CareEd,West Creek SNF Center 0054,SNF
1055,Negotiate,"$22,109.00","Compliance, XM",SNFCourse,West Heights Home Health Center 0055,HH
1056,Identify,"$55,523.00","Learning, Assessments",SNFCourse,New Harbor Home Care Center 0056,HC
1057,Engage,"$61,808.00",XM,MedTeach,East Springs Home Health Center 0057,HH
1058,Prove,"$56,830.00","Learning, XM",MedTeach,New Harbor Assisted Living Center 0058,AL
1059,Closed Lost,"$74,409.00","Learning, Assessments",CareEd,New Creek Home Health Center 0059,HH
1060,Engage,"$82,715.00","Learning, Regulation Management",MedTeach,Grand Springs SNF Center 0060,SNF
1061,Identify,"$14,645.00","Learning, XM",MedTeach,New Haven Home Health Center 0061,HH
1062,Negotiate,"$66,648.00","Learning, XM",InsightsAct,North Valley Home Care Center 0062,HC
1063,Identify,"$58,503.00","Learning, Regulation Management",CareEd,North Heights Assisted Living Center 0063,AL
1064,Prove,"$33,515.00","Compliance, XM",SNFCourse,East Ridge Assisted Living Center 0064,AL
1065,Identify,"$5,490.00","Learning, Regulation Management, Compliance, XM",MedTeach,West Grove SNF Center 0065,SNF
1066,Identify,"$44,207.00","Learning, Regulation Management",SNFCourse,East Grove Home Care Center 0066,HC
1067,Engage,"$81,619.00","Learning, Policy Management",CareEd,East Heights Home Care Center 0067,HC
1068,Identify,"$2,127.00","Learning, Policy Management",MedTeach,East Valley Assisted Living Center 0068,AL
1069,Closed Won,"$40,894.00",Learning,InsightsAct,West Point Home Care Center 0069,HC
1070,Closed Lost,"$29,420.00","Compliance, XM",SNFCourse,North Grove Assisted Living Center 0070,AL
1071,Engage,"$34,514.00",Policy Management,MedTeach,New Heights Home Health Center 0071,HH
1072,Prove,"$52,976.00","Learning, Regulation Management, Compliance, XM",MedTeach,South Springs Home Health Center 0072,HH
1073,Negotiate,"$33,044.00","Learning, Regulation Management",SNFCourse,South Harbor Home Health Center 0073,HH
1074,Identify,"$17,409.00",Policy Management,SNFCourse,Pine Creek Home Health Center 0074,HH
1075,Identify,"$50,907.00","Learning, Assessments",SNFCourse,North View Assisted Living Center 0075,AL
1076,Identify,"$76,791.00",Learning,MedTeach,Grand Valley Assisted Living Center 0076,AL
1077,Engage,"$22,056.00",Policy Management,SNFCourse,New Creek Home Health Center 0077,HH
1078,Identify,"$23,243.00","Learning, XM",InsightsAct,Grand Springs Home Care Center 0078,HC
1079,Identify,"$13,937.00",Learning,CareEd,Grand Haven Assisted Living Center 0079,AL
1080,Prove,"$66,847.00","Learning, Regulation Management",InsightsAct,Oak Ridge Home Health Center 0080,HH
1081,Engage,"$32,708.00","Learning, XM",MedTeach,Pine Harbor Assisted Living Center 0081,AL
1082,Identify,"$28,805.00",Policy Management,InsightsAct,West Creek Home Care Center 0082,HC
1083,Prove,"$69,397.00",Policy Management,CareEd,New Creek Assisted Living Center 0083,AL
1084,Identify,"$35,160.00","Learning, Regulation Management",MedTeach,West Springs Home Health Center 0084,HH
1085,Negotiate,"$14,625.00","Learning, Regulation Management, Compliance, XM",CareEd,North Grove Assisted Living Center 0085,AL
1086,Negotiate,"$61,876.00","Compliance, XM",SNFCourse,Grand Harbor SNF Center 0086,SNF
1087,Identify,"$1,807.00","Learning, Assessments",SNFCourse,Grand Grove Home Care Center 0087,HC
1088,Identify,"$81,396.00","Compliance, XM",MedTeach,Grand Grove SNF Center 0088,SNF
1089,Identify,"$79,741.00","Learning, Regulation Management, Compliance, XM",CareEd,Oak Grove Home Care Center 0089,HC
1090,Identify,"$13,093.00","Compliance, XM",MedTeach,Oak Creek Assisted Living Center 0090,AL
1091,Closed Lost,"$55,888.00",Learning,SNFCourse,Oak View Home Care Center 0091,HC
1092,Prove,"$51,018.00",Learning,SNFCourse,River Springs Assisted Living Center 0092,AL
1093,Identify,"$69,499.00","Learning, Regulation Management",InsightsAct,River Grove Home Health Center 0093,HH
1094,Closed Won,"$31,446.00","Compliance, XM",MedTeach,West Springs SNF Center 0094,SNF
1095,Prove,"$37,411.00","Learning, Policy Management",SNFCourse,East Grove SNF Center 0095,SNF
1096,Prove,"$53,582.00","Learning, Policy Management",MedTeach,South View Assisted Living Center 0096,AL
1097,Closed Won,"$59,291.00","Compliance, XM",SNFCourse,North Grove Home Care Center 0097,HC
1098,Negotiate,"$8,386.00","Learning, Regulation Management, Compliance, XM",SNFCourse,Grand Point SNF Center 0098,SNF
1099,Negotiate,"$74,080.00","Compliance, XM",CareEd,Grand Creek Home Health Center 0099,HH
1100,Prove,"$19,707.00",Policy Management,MedTeach,West Springs Assisted Living Center 0100,AL
1101,Engage,"$3,872.00","Learning, Assessments",CareEd,Lake View SNF Center 0101,SNF
1102,Closed Won,"$4,605.00",Learning,CareEd,Oak Ridge Assisted Living Center 0102,AL
1103,Identify,"$13,672.00",Learning,MedTeach,Grand Haven SNF Center 0103,SNF
1104,Prove,"$6,105.00","Learning, Regulation Management, Compliance, XM",InsightsAct,Grand Heights SNF Center 0104,SNF
1105,Engage,"$50,187.00","Learning, Regulation Management",CareEd,Grand Springs Home Health Center 0105,HH
1106,Closed Won,"$34,335.00",Learning,CareEd,North Creek SNF Center 0106,SNF
1107,Negotiate,"$80,997.00","Learning, XM",MedTeach,North Ridge Assisted Living Center 0107,AL
1108,Closed Lost,"$77,028.00","Learning, XM",SNFCourse,East Grove SNF Center 0108,SNF
1109,Identify,"$57,980.00","Learning, Regulation Management",SNFCourse,West Point SNF Center 0109,SNF
1110,Closed Won,"$22,370.00",Learning,MedTeach,Pine Harbor Home Health Center 0110,HH
1111,Engage,"$6,960.00","Learning, Policy Management",SNFCourse,South Harbor Assisted Living Center 0111,AL
1112,Prove,"$22,756.00",XM,InsightsAct,West Valley Home Care Center 0112,HC
1113,Identify,"$31,369.00","Compliance, XM",CareEd,New Harbor Assisted Living Center 0113,AL
1114,Identify,"$78,780.00","Learning, XM",MedTeach,Oak View SNF Center 0114,SNF
1115,Engage,"$69,993.00",Learning,CareEd,Grand Point Home Health Center 0115,HH
1116,Closed Lost,"$53,697.00","Learning, XM",SNFCourse,East View Home Health Center 0116,HH
1117,Identify,"$18,683.00",XM,MedTeach,Oak Point Home Health Center 0117,HH
1118,Closed Won,"$52,980.00","Learning, XM",CareEd,West Valley Home Health Center 0118,HH
1119,Identify,"$24,535.00","Learning, Regulation Management",MedTeach,Pine Harbor Assisted Living Center 0119,AL
1120,Engage,"$54,738.00",Policy Management,MedTeach,Lake Haven SNF Center 0120,SNF
1121,Engage,"$50,814.00",XM,SNFCourse,Lake Springs Home Health Center 0121,HH
1122,Identify,"$5,041.00",XM,MedTeach,North Creek Home Health Center 0122,HH
1123,Prove,"$20,835.00","Learning, XM",MedTeach,River Creek Assisted Living Center 0123,AL
1124,Engage,"$33,898.00","Compliance, XM",CareEd,River Ridge Home Care Center 0124,HC
1125,Identify,"$22,605.00","Learning, Regulation Management",SNFCourse,West Springs Assisted Living Center 0125,AL
1126,Negotiate,"$32,693.00","Learning, Policy Management",InsightsAct,Oak Heights Home Care Center 0126,HC
1127,Engage,"$77,445.00","Learning, Regulation Management, Compliance, XM",CareEd,River Springs Home Health Center 0127,HH
1128,Prove,"$66,845.00","Learning, Assessments",MedTeach,West Heights Assisted Living Center 0128,AL
1129,Identify,"$37,440.00",Learning,MedTeach,West Point Assisted Living Center 0129,AL
1130,Identify,"$37,613.00","Learning, XM",MedTeach,West Springs Home Health Center 0130,HH
1131,Prove,"$80,024.00","Learning, Regulation Management",MedTeach,North Creek Assisted Living Center 0131,AL
1132,Closed Won,"$82,061.00",XM,SNFCourse,Oak Springs SNF Center 0132,SNF
1133,Identify,"$2,076.00",Learning,SNFCourse,North Harbor Home Care Center 0133,HC
1134,Negotiate,"$79,084.00","Learning, Policy Management",SNFCourse,Lake Haven Home Care Center 0134,HC
1135,Prove,"$22,319.00",Policy Management,SNFCourse,South View Home Care Center 0135,HC
1136,Identify,"$82,930.00","Learning, Regulation Management",CareEd,East Harbor SNF Center 0136,SNF
1137,Prove,"$24,588.00","Learning, Regulation Management",InsightsAct,Oak View Assisted Living Center 0137,AL
1138,Closed Won,"$29,609.00","Learning, Regulation Management, Compliance, XM",MedTeach,Grand Point Assisted Living Center 0138,AL
1139,Engage,"$12,587.00","Learning, Regulation Management",MedTeach,Pine Harbor Home Care Center 0139,HC
1140,Closed Lost,"$27,656.00",Policy Management,InsightsAct,West Springs SNF Center 0140,SNF
1141,Prove,"$37,834.00","Learning, Policy Management",MedTeach,Oak Valley Assisted Living Center 0141,AL
1142,Engage,"$80,517.00",Policy Management,SNFCourse,Pine Point Home Care Center 0142,HC
1143,Identify,"$38,641.00","Learning, Policy Management",InsightsAct,New Point Assisted Living Center 0143,AL
1144,Closed Lost,"$40,748.00",Policy Management,MedTeach,Pine Grove Assisted Living Center 0144,AL
1145,Identify,"$6,810.00","Learning, Regulation Management",InsightsAct,New Haven Assisted Living Center 0145,AL
1146,Identify,"$25,962.00","Learning, Policy Management",MedTeach,Pine Harbor Assisted Living Center 0146,AL
1147,Identify,"$39,747.00",Learning,InsightsAct,New View SNF Center 0147,SNF
1148,Closed Won,"$53,412.00",Learning,InsightsAct,South Harbor Home Care Center 0148,HC
1149,Engage,"$25,489.00",XM,InsightsAct,New Ridge Home Health Center 0149,HH
1150,Negotiate,"$31,105.00",XM,InsightsAct,Pine Ridge SNF Center 0150,SNF
1151,Negotiate,"$71,185.00",Policy Management,SNFCourse,East Harbor Home Care Center 0151,HC
1152,Prove,"$46,914.00","Learning, XM",SNFCourse,River Heights Home Care Center 0152,HC
1153,Closed Won,"$74,817.00",Policy Management,CareEd,East Heights Home Health Center 0153,HH
1154,Engage,"$37,008.00","Learning, Regulation Management, Compliance, XM",CareEd,Grand Creek Home Care Center 0154,HC
1155,Closed Lost,"$82,463.00",Learning,MedTeach,New Heights SNF Center 0155,SNF
1156,Identify,"$47,958.00",XM,MedTeach,North Creek Home Care Center 0156,HC
1157,Prove,"$53,450.00","Learning, Regulation Management, Compliance, XM",InsightsAct,Oak Heights SNF Center 0157,SNF
1158,Closed Won,"$26,094.00","Compliance, XM",MedTeach,North Grove Home Care Center 0158,HC
1159,Identify,"$52,947.00","Learning, Assessments",InsightsAct,River Point Assisted Living Center 0159,AL
1160,Identify,"$75,783.00",Learning,SNFCourse,New Creek Assisted Living Center 0160,AL
1161,Closed Lost,"$9,063.00",Learning,SNFCourse,West Valley Home Care Center 0161,HC
1162,Engage,"$10,171.00","Learning, Assessments",MedTeach,New Creek Assisted Living Center 0162,AL
1163,Engage,"$61,485.00","Compliance, XM",CareEd,West Point Home Care Center 0163,HC
1164,Negotiate,"$77,061.00",Learning,SNFCourse,Pine Creek Home Care Center 0164,HC
1165,Identify,"$23,077.00",XM,CareEd,Lake Creek Home Health Center 0165,HH
1166,Prove,"$8,208.00",XM,SNFCourse,Pine Harbor Home Health Center 0166,HH
1167,Identify,"$22,018.00","Learning, Policy Management",InsightsAct,River Heights Home Care Center 0167,HC
1168,Engage,"$74,235.00","Learning, Regulation Management, Compliance, XM",MedTeach,Lake Grove Home Care Center 0168,HC
1169,Identify,"$8,088.00","Learning, Regulation Management, Compliance, XM",MedTeach,Grand Ridge Home Care Center 0169,HC
1170,Identify,"$18,153.00","Learning, Assessments",InsightsAct,Grand Haven Home Care Center 0170,HC
1171,Identify,"$47,686.00",XM,SNFCourse,Pine Heights Assisted Living Center 0171,AL
1172,Closed Lost,"$58,231.00","Learning, Assessments",MedTeach,River Ridge SNF Center 0172,SNF
1173,Engage,"$32,493.00",Policy Management,SNFCourse,River Springs Assisted Living Center 0173,AL
1174,Prove,"$36,161.00",Policy Management,CareEd,Lake Creek Home Care Center 0174,HC
1175,Closed Won,"$8,962.00",Policy Management,CareEd,North Harbor Home Care Center 0175,HC
1176,Prove,"$52,444.00","Learning, Regulation Management, Compliance, XM",SNFCourse,South View Home Health Center 0176,HH
1177,Identify,"$40,805.00","Learning, Regulation Management, Compliance, XM",CareEd,East Springs SNF Center 0177,SNF
1178,Identify,"$42,590.00","Learning, Assessments",SNFCourse,New Heights Home Health Center 0178,HH
1179,Identify,"$67,044.00","Learning, Policy Management",SNFCourse,Oak View Assisted Living Center 0179,AL
1180,Engage,"$44,084.00","Learning, Regulation Management, Compliance, XM",InsightsAct,East Valley Assisted Living Center 0180,AL
1181,Identify,"$13,592.00","Learning, Regulation Management, Compliance, XM",CareEd,Pine Haven Assisted Living Center 0181,AL
1182,Identify,"$52,128.00",Policy Management,SNFCourse,New Ridge Home Health Center 0182,HH
1183,Engage,"$4,410.00",Policy Management,CareEd,River Heights Assisted Living Center 0183,AL
1184,Closed Lost,"$8,851.00",Learning,InsightsAct,River Springs Home Care Center 0184,HC
1185,Prove,"$35,132.00","Learning, Regulation Management, Compliance, XM",CareEd,West View Home Care Center 0185,HC
1186,Closed Lost,"$72,815.00",Policy Management,CareEd,North View Home Health Center 0186,HH
1187,Engage,"$45,297.00","Compliance, XM",CareEd,River Springs SNF Center 0187,SNF
1188,Negotiate,"$65,504.00","Learning, Policy Management",MedTeach,West Harbor Home Health Center 0188,HH
1189,Engage,"$19,904.00","Learning, Policy Management",MedTeach,North Springs Assisted Living Center 0189,AL
1190,Identify,"$43,108.00","Learning, Assessments",SNFCourse,South Springs Home Health Center 0190,HH
1191,Closed Won,"$7,183.00","Learning, Regulation Management",SNFCourse,West Haven Home Care Center 0191,HC
1192,Engage,"$53,167.00",Learning,MedTeach,New Point Home Health Center 0192,HH
1193,Negotiate,"$83,427.00",Policy Management,MedTeach,River Valley Home Health Center 0193,HH
1194,Identify,"$22,469.00","Compliance, XM",CareEd,Oak Heights Assisted Living Center 0194,AL
1195,Prove,"$67,893.00","Learning, Regulation Management",InsightsAct,Oak Valley SNF Center 0195,SNF
1196,Identify,"$73,733.00",Learning,InsightsAct,Grand Heights Home Health Center 0196,HH
1197,Closed Won,"$26,110.00",Policy Management,InsightsAct,North Harbor Assisted Living Center 0197,AL
1198,Negotiate,"$26,744.00",Learning,SNFCourse,River Springs Assisted Living Center 0198,AL
1199,Closed Won,"$8,887.00","Compliance, XM",InsightsAct,North Springs Assisted Living Center 0199,AL
1200,Closed Lost,"$39,381.00",XM,MedTeach,Oak Haven SNF Center 0200,SNF
1201,Negotiate,"$30,812.00","Learning, Regulation Management",MedTeach,Grand Harbor Home Health Center 0201,HH
1202,Prove,"$59,821.00","Learning, XM",CareEd,Pine View SNF Center 0202,SNF
1203,Negotiate,"$79,009.00","Compliance, XM",MedTeach,River Point Home Health Center 0203,HH
1204,Identify,"$46,189.00","Compliance, XM",SNFCourse,Oak Heights SNF Center 0204,SNF
1205,Identify,"$18,133.00","Learning, Policy Management",InsightsAct,South Point Home Health Center 0205,HH
1206,Engage,"$55,269.00","Learning, Policy Management",InsightsAct,North Ridge Assisted Living Center 0206,AL
1207,Closed Won,"$39,072.00","Compliance, XM",CareEd,West Valley Assisted Living Center 0207,AL
1208,Identify,"$21,354.00","Learning, Regulation Management",InsightsAct,Lake Haven Assisted Living Center 0208,AL
1209,Engage,"$60,656.00","Compliance, XM",InsightsAct,East Creek Home Health Center 0209,HH
1210,Closed Won,"$70,789.00","Learning, Assessments",CareEd,East Ridge SNF Center 0210,SNF
1211,Engage,"$61,511.00",Policy Management,MedTeach,East Springs Home Health Center 0211,HH
1212,Prove,"$11,398.00","Learning, Regulation Management, Compliance, XM",MedTeach,South Valley Home Care Center 0212,HC
1213,Engage,"$18,329.00",Learning,InsightsAct,Pine Valley Home Health Center 0213,HH
1214,Engage,"$39,392.00",XM,CareEd,North Creek Assisted Living Center 0214,AL
1215,Identify,"$3,123.00","Learning, XM",InsightsAct,River View SNF Center 0215,SNF
1216,Prove,"$59,219.00","Learning, Regulation Management",MedTeach,River Valley SNF Center 0216,SNF
1217,Engage,"$34,527.00","Learning, Regulation Management, Compliance, XM",MedTeach,East Springs Assisted Living Center 0217,AL
1218,Negotiate,"$46,804.00",Learning,SNFCourse,Pine Creek Home Health Center 0218,HH
1219,Closed Won,"$27,872.00","Learning, Policy Management",SNFCourse,South Creek Home Care Center 0219,HC
1220,Engage,"$16,561.00",Policy Management,InsightsAct,Grand Heights Home Care Center 0220,HC
1221,Identify,"$40,961.00","Learning, XM",MedTeach,Lake View Home Care Center 0221,HC
1222,Closed Lost,"$39,559.00",Policy Management,CareEd,East Point Home Health Center 0222,HH
1223,Negotiate,"$55,739.00",XM,CareEd,Grand Valley SNF Center 0223,SNF
1224,Identify,"$70,410.00","Learning, Regulation Management",CareEd,Oak Creek SNF Center 0224,SNF
1225,Engage,"$67,123.00","Learning, Policy Management",SNFCourse,Lake View SNF Center 0225,SNF
1226,Engage,"$75,232.00","Learning, Assessments",SNFCourse,South Harbor Home Health Center 0226,HH
1227,Identify,"$80,179.00","Learning, Regulation Management, Compliance, XM",InsightsAct,West Valley Assisted Living Center 0227,AL
1228,Identify,"$81,918.00","Learning, Assessments",MedTeach,New Harbor Home Health Center 0228,HH
1229,Prove,"$76,226.00","Learning, Policy Management",MedTeach,New Ridge SNF Center 0229,SNF
1230,Closed Won,"$42,639.00","Learning, Assessments",InsightsAct,Lake Ridge Home Health Center 0230,HH
1231,Prove,"$45,909.00",Learning,SNFCourse,East Ridge Home Care Center 0231,HC
1232,Identify,"$27,301.00","Learning, XM",SNFCourse,Grand Point Assisted Living Center 0232,AL
1233,Negotiate,"$52,266.00","Learning, Regulation Management, Compliance, XM",InsightsAct,Lake Harbor Home Health Center 0233,HH
1234,Prove,"$33,237.00","Learning, Assessments",CareEd,East Harbor SNF Center 0234,SNF
1235,Closed Lost,"$75,492.00","Learning, Policy Management",MedTeach,River View SNF Center 0235,SNF
1236,Prove,"$41,679.00","Learning, Regulation Management, Compliance, XM",InsightsAct,New Grove Home Care Center 0236,HC
1237,Prove,"$56,781.00",Policy Management,MedTeach,South Springs Home Health Center 0237,HH
1238,Prove,"$77,715.00","Learning, Policy Management",MedTeach,West View Home Health Center 0238,HH
1239,Closed Lost,"$54,999.00",Learning,SNFCourse,New Grove SNF Center 0239,SNF
1240,Closed Won,"$81,534.00",Policy Management,MedTeach,Lake Valley Home Health Center 0240,HH
1241,Closed Won,"$1,702.00","Learning, Regulation Management, Compliance, XM",CareEd,East View Home Care Center 0241,HC
1242,Closed Won,"$14,087.00","Learning, Assessments",SNFCourse,Oak Heights Assisted Living Center 0242,AL
1243,Negotiate,"$20,939.00",XM,MedTeach,North Point SNF Center 0243,SNF
1244,Closed Won,"$16,929.00","Learning, Regulation Management",MedTeach,Grand View Home Care Center 0244,HC
1245,Prove,"$28,780.00","Learning, Policy Management",MedTeach,Lake Haven Home Care Center 0245,HC
1246,Identify,"$60,298.00","Learning, Regulation Management, Compliance, XM",SNFCourse,Grand Valley Home Health Center 0246,HH
1247,Identify,"$27,608.00","Compliance, XM",SNFCourse,South View Home Care Center 0247,HC
1248,Closed Lost,"$50,744.00",Learning,MedTeach,Lake Haven Home Health Center 0248,HH
1249,Prove,"$26,553.00","Learning, Assessments",MedTeach,Oak Grove SNF Center 0249,SNF
1250,Prove,"$60,506.00",Learning,SNFCourse,South Haven Assisted Living Center 0250,AL
1251,Closed Won,"$33,557.00","Learning, Regulation Management",SNFCourse,East Valley Assisted Living Center 0251,AL
1252,Engage,"$59,013.00",Learning,SNFCourse,Pine Harbor Home Care Center 0252,HC
1253,Closed Lost,"$27,600.00",Policy Management,MedTeach,East Point Home Health Center 0253,HH
1254,Prove,"$12,385.00","Learning, Regulation Management",SNFCourse,New Harbor Home Care Center 0254,HC
1255,Closed Lost,"$63,046.00","Learning, XM",SNFCourse,River Point SNF Center 0255,SNF
1256,Engage,"$34,028.00","Learning, Policy Management",CareEd,South Valley Home Health Center 0256,HH
1257,Engage,"$49,391.00","Learning, XM",CareEd,Pine Creek Home Care Center 0257,HC
1258,Prove,"$27,819.00","Compliance, XM",SNFCourse,Pine Point Assisted Living Center 0258,AL
1259,Engage,"$40,504.00",XM,MedTeach,South Heights SNF Center 0259,SNF
1260,Prove,"$80,074.00","Learning, Policy Management",CareEd,West Point Assisted Living Center 0260,AL
1261,Identify,"$4,053.00","Learning, Regulation Management, Compliance, XM",InsightsAct,Lake Springs Assisted Living Center 0261,AL
1262,Identify,"$6,418.00",Learning,InsightsAct,North Heights Home Health Center 0262,HH
1263,Identify,"$68,360.00",Policy Management,InsightsAct,Grand Springs SNF Center 0263,SNF
1264,Closed Lost,"$65,624.00","Learning, Regulation Management, Compliance, XM",InsightsAct,South Harbor Assisted Living Center 0264,AL
1265,Closed Won,"$15,558.00","Learning, Assessments",CareEd,East Harbor Home Health Center 0265,HH
1266,Prove,"$7,780.00","Learning, Regulation Management, Compliance, XM",CareEd,East Creek Home Care Center 0266,HC
1267,Identify,"$75,924.00",Learning,SNFCourse,Lake Ridge Home Care Center 0267,HC
1268,Identify,"$53,009.00","Learning, Policy Management",InsightsAct,Lake Point Assisted Living Center 0268,AL
1269,Identify,"$2,491.00","Learning, Assessments",MedTeach,South Springs Assisted Living Center 0269,AL
1270,Engage,"$26,835.00",XM,MedTeach,Pine Haven SNF Center 0270,SNF
1271,Negotiate,"$51,993.00","Learning, Policy Management",CareEd,East Harbor Assisted Living Center 0271,AL
1272,Engage,"$36,861.00","Learning, Regulation Management",SNFCourse,Grand Heights Home Care Center 0272,HC
1273,Identify,"$72,945.00","Learning, XM",MedTeach,West Creek Home Health Center 0273,HH
1274,Closed Won,"$32,042.00",Learning,InsightsAct,Lake Harbor Home Care Center 0274,HC
1275,Identify,"$71,326.00","Learning, Assessments",MedTeach,Oak Creek Home Health Center 0275,HH
1276,Prove,"$71,247.00","Compliance, XM",InsightsAct,East Springs Assisted Living Center 0276,AL
1277,Identify,"$70,346.00","Learning, Assessments",SNFCourse,Oak Valley Home Care Center 0277,HC
1278,Identify,"$46,005.00","Learning, XM",InsightsAct,East Springs Home Health Center 0278,HH
1279,Prove,"$47,772.00","Learning, Assessments",MedTeach,South Grove Assisted Living Center 0279,AL
1280,Closed Won,"$64,642.00","Learning, Policy Management",MedTeach,North View SNF Center 0280,SNF
1281,Prove,"$45,088.00",XM,CareEd,South Heights Assisted Living Center 0281,AL
1282,Engage,"$22,421.00","Learning, Regulation Management",MedTeach,Lake Haven Home Health Center 0282,HH
1283,Identify,"$37,002.00","Learning, XM",MedTeach,East Point Home Health Center 0283,HH
1284,Engage,"$44,362.00","Learning, Regulation Management",SNFCourse,North Springs SNF Center 0284,SNF
1285,Identify,"$59,273.00",Learning,MedTeach,New Grove Home Care Center 0285,HC
1286,Prove,"$54,495.00",Policy Management,MedTeach,Grand Harbor SNF Center 0286,SNF
1287,Prove,"$82,037.00",Learning,CareEd,Pine Creek SNF Center 0287,SNF
1288,Identify,"$20,239.00","Compliance, XM",CareEd,New View Assisted Living Center 0288,AL
